movie_name,score,score_num,title
唐伯虎点秋香,8.4,334461人评价,163
浪潮,8.7,134736人评价,164
冰川时代,8.4,276610人评价,165
香水,8.4,280444人评价,166
蝙蝠侠：黑暗骑士崛起,8.6,299790人评价,167
朗读者,8.5,282103人评价,168
心迷宫,8.6,165356人评价,169
追随,8.9,83237人评价,170
罗生门,8.7,127302人评价,171
撞车,8.6,176668人评价,172
一次别离,8.7,134536人评价,173
可可西里,8.7,131237人评价,174
未麻的部屋,8.8,99424人评价,175
爆裂鼓手,8.6,241412人评价,176
战争之王,8.5,177143人评价,177
地球上的星星,8.8,86150人评价,178
梦之安魂曲,8.7,113294人评价,179
恐怖游轮,8.3,328737人评价,180
达拉斯买家俱乐部,8.6,170515人评价,181
碧海蓝天,8.7,108805人评价,182
阿飞正传,8.5,184662人评价,183
牯岭街少年杀人事件,8.7,108320人评价,184
被解救的姜戈,8.5,262466人评价,185
谍影重重2,8.5,161406人评价,186
谍影重重,8.5,194337人评价,187
魔女宅急便,8.5,197101人评价,188
秒速5厘米,8.3,301298人评价,189
惊魂记,8.9,83938人评价,190
忠犬八公物语,9.0,60083人评价,191
再次出发之纽约遇见你,8.5,171225人评价,192
海盗电台,8.6,166385人评价,193
青蛇,8.4,223755人评价,194
东京物语,9.2,51086人评价,195
哪吒闹海,8.9,81327人评价,196
绿里奇迹,8.7,107564人评价,197
末路狂花,8.7,105581人评价,198
勇闯夺命岛,8.5,143087人评价,199
终结者2：审判日,8.6,142188人评价,200
这个男人来自地球,8.5,182466人评价,201
头脑特工队,8.7,228478人评价,202
源代码,8.3,411745人评价,203
卡萨布兰卡,8.6,125764人评价,204
新龙门客栈,8.5,185412人评价,205
荒野生存,8.6,128555人评价,206
迁徙的鸟,9.1,52069人评价,207
黑客帝国3：矩阵革命,8.5,157197人评价,208
房间,8.8,154168人评价,209
变脸,8.4,216096人评价,210
城市之光,9.2,44359人评价,211
模仿游戏,8.5,256940人评价,212
E.T. 外星人,8.5,154073人评价,213
美国丽人,8.4,186760人评价,214
发条橙,8.4,187198人评价,215
黄金三镖客,9.1,51631人评价,216
燕尾蝶,8.6,108374人评价,217
英国病人,8.4,174919人评价,218
无耻混蛋,8.4,224749人评价,219
初恋这件小事,8.3,463907人评价,220
叫我第一名,8.6,109313人评价,221
非常嫌疑犯,8.6,117038人评价,222
穆赫兰道,8.3,236217人评价,223
爱在午夜降临前,8.8,116552人评价,224
勇士,8.9,87980人评价,225
一个叫欧维的男人决定去死,8.7,115846人评价,226
上帝也疯狂,8.6,96506人评价,227
无敌破坏王,8.6,185131人评价,228
疯狂的石头,8.2,315166人评价,229
国王的演讲,8.3,341278人评价,230
血钻,8.5,132135人评价,231
你的名字。,8.4,461310人评价,232
蓝色大门,8.3,273473人评价,233
无人知晓,9.0,54107人评价,234
枪火,8.6,100051人评价,235
步履不停,8.8,70918人评价,236
大卫·戈尔的一生,8.6,92849人评价,237
爱·回家,9.0,47465人评价,238
遗愿清单,8.5,128377人评价,239
彗星来的那一夜,8.4,176147人评价,240
千钧一发,8.7,85782人评价,241
我爱你,9.0,57209人评价,242
荒岛余生,8.5,134028人评价,243
血战钢锯岭,8.7,314684人评价,244
麦兜故事,8.5,128312人评价,245
暖暖内含光,8.4,144925人评价,246
曾经,8.3,203321人评价,247
月球,8.5,143716人评价,248
蝴蝶,8.6,95099人评价,249
巴黎淘气帮,8.6,104291人评价,250
